id,make,model_full,model_short,model_common,model_scheme,year,country,rarity,type,fuel_capacity
247,Toyota,2000GT,Toyota 2000GT,,0,1969,Japan,Barn Find,Rare Classics,60
249,Ferrari,250 GTO,Ferrari 250 GTO,,0,1962,Italy,Legendary,Classic Racers,130
251,Mercedes,300 SL Coupé,M-B 300SL,300 SL,0,1954,Germany,Legendary,Rare Classics,130
253,Ferrari,F355 Berlinetta,Ferrari F355,F355,2,1994,Italy,,Retro Supercars,82
255,Ferrari,512 TR,Ferrari 512TR,,2,1992,Italy,,Retro Supercars,100
260,Porsche,911 Carrera RS,911 Carrera '73,,0,1973,Germany,Legendary,Rare Classics,85
261,Porsche,911 GT2,911 GT2 '95,,0,1995,Germany,,Retro Supercars,92
262,Porsche,911 GT3,911 GT3 '04,,0,2004,Germany,Rare,Retro Supercars,89
265,Porsche,911 Turbo 3.3,911 Turbo '82,911 Turbo,0,1982,Germany,,Retro Supercars,80
268,Porsche,944 Turbo,Porsche 944,,0,1989,Germany,Rare,Retro Sports Cars,80
269,Porsche,959,Porsche 959,,0,1987,Germany,Treasure Car,Retro Supercars,84
281,Plymouth,Barracuda Formula S,Barracuda,Cuda,0,1968,USA,Rare,Classic Muscle,68
289,Chevrolet,Camaro Super Sport Coupé,Chevy Camaro '69,Camaro,0,1969,USA,Rare,Classic Muscle,68
292,Porsche,Carrera GT,Porsche Carrera,,0,2003,Germany,Legendary,Rare Classics,92
295,Toyota,Celica Sport Specialty II,Toyota Celica '03,Celica,0,2003,Japan,Rare,Retro Sports Cars,55
296,TVR,Cerbera Speed 12,TVR Speed 12,,0,1998,UK,,Retro Supercars,100
299,Chevrolet,Chevelle Super Sport 454,Chevelle '70,Chevelle,1,1970,USA,Rare,Classic Muscle,76
302,Honda,Civic Type R,Honda Civic '04,,1,2004,Japan,Common,Retro Hot Hatch,50
306,Shelby,Cobra 427 S/C,Shelby Cobra 427,Cobra,2,1965,USA,,Rare Classics,159
309,Volkswagen,Corrado VR6,VW Corrado,Corrado,0,1995,Germany,Common,Retro Hot Hatch,70
312,Chevrolet,Corvette Stingray 427,Corvette '67,Stingray,1,1967,USA,,Classic Muscle,76
314,Chevrolet,Corvette Z06,Corvette '02,Corvette,0,2002,USA,Legendary,Classic Sports Cars,70
