type,x,y,z
2,-2025.3632,134.16275,-3135.0466
1,-2015.188,133.99893,-3131.4053
1,-2012.0173,133.95897,-3127.6792
1,-1839.1416,118.10992,-3610.869
1,-1843.2135,118.116646,-3612.2844
1,-1692.2834,109.09459,-3902.8574
1,-1695.8025,109.01729,-3894.5486
1,-1692.0643,108.94872,-3892.362
1,-1688.6246,109.032974,-3900.6965
2,-1680.8552,109.19749,-3915.903
1,-7087.4243,158.40298,-1802.1342
1,-7083.4614,158.39064,-1802.8131
2,-1023.9781,116.81651,1648.674
1,-1028.087,116.81669,1634.661
3,-1265.3157,111.14741,-4415.5547
1,-1296.75,112.401886,-4422.019
1,-1304.5521,112.642365,-4425.35
1,-1300.2181,112.50872,-4423.3574
3,-5219.9385,166.37843,-5648.3936
3,-2288.704,107.199776,-5743.048
2,-2265.3965,106.69181,-5799.795
1,-2269.5002,106.96975,-5779.2446
1,-2264.9355,106.81696,-5786.7925
1,-2261.3616,106.80195,-5784.337
1,-2265.8308,106.96807,-5776.93
2,-2255.4404,106.010445,-5716.783
3,-1096.7124,116.45208,1738.7455
1,-2848.9736,114.95172,-5200.1157
1,-2846.8157,114.956764,-5196.686
1,-2843.9243,114.963196,-5192.3833
1,-2845.6313,114.970436,-5186.4395
1,-2847.7656,114.96424,-5190.2627
3,-7090.5923,158.94138,-1619.6836
1,-379.15033,102.43711,-6685.407
1,-368.9721,102.48981,-6703.141
1,-366.0544,102.4662,-6700.7544
1,-375.53253,102.40962,-6683.3765
3,-366.81287,102.41448,-6691.74
3,-384.2947,102.42852,-6431.424
1,-2340.9038,113.92792,-4783.1665
1,-2344.378,113.792465,-4773.078
1,-2341.9622,113.88154,-4779.638
1,-2342.809,113.84137,-4776.203
2,-2837.1604,116.33513,-4819.1045
3,1389.9768,102.58813,-5762.6396
2,1514.1974,102.511154,-5572.646
3,2186.3762,188.82948,-5499.253
2,2585.7512,446.49768,4822.787
2,4795.315,112.53867,268.0883
1,4791.3755,112.39637,227.61049
1,4793.0317,112.37134,232.65506
3,4681.9795,113.409195,187.37415
1,3041.1936,119.41614,-637.39966
1,3040.233,119.31041,-640.92847
1,3038.0137,119.08299,-649.05865
1,3039.271,119.15414,-645.2894
3,878.7794,121.07235,-1121.9119
2,1280.0061,119.99348,457.3046
1,1297.0945,120.324196,516.0547
1,1293.4149,120.33376,515.76196
2,974.9364,126.38214,1004.99286
3,-620.0005,109.67312,-1297.258
2,-767.6268,277.94455,-577.0031
2,-115.199066,120.693535,1895.1089
2,1574.6096,124.12943,2154.4138
1,1507.2994,122.55745,2087.346
1,1507.0348,122.64481,2091.4282
3,-5069.7656,139.49309,174.28659
1,-3770.7615,167.15471,26.659254
1,-3766.0525,167.15103,18.292212
3,-6646.2554,157.71376,-600.5126
3,-7182.1,153.55038,-2705.8462
3,-4236.9956,332.3521,-597.9031
2,-1894.7976,392.87976,-116.84726
3,-1514.0458,290.1737,-1672.8556
3,-368.6947,109.34732,-3622.426
2,-54.19156,109.63357,-3005.5952
3,96.52855,105.39465,-3846.547
3,-267.4929,108.37458,-3835.565
3,-254.61414,108.46955,-3759.312
3,-400.52737,107.52831,-3786.4766
1,-389.86127,107.33584,-3835.534
1,-391.40128,107.341064,-3831.5518
2,-731.7049,107.18655,-3767.7676
3,-695.6196,108.84615,-3685.8923
3,-1695.5879,110.01302,-4042.5112
2,-2220.6248,120.42706,-4202.565
3,-2132.4333,118.8997,-4332.4346
3,-1593.3677,113.87739,-4476.144
3,-2055.1843,115.935455,-4432.5874
3,-2354.9094,113.653206,-4814.763
3,-2430.819,113.83228,-4772.7134
3,-2406.5945,114.55673,-5028.5215
3,-2857.1418,114.91951,-5214.3345
3,-2792.7065,114.41805,-5693.422
1,-2174.9578,113.935555,-5096.429
1,-2176.0522,113.97113,-5098.979
1,-2173.3687,113.848114,-5092.189
1,-2177.2773,114.02845,-5102.63
3,-2304.8066,114.11001,-4767.1045
1,-1935.1888,116.83985,-4705.6616
1,-1931.1948,116.89204,-4705.477
2,-1924.9501,116.88845,-4710.023
1,-2136.8223,104.850815,-5983.5073
1,-2132.5686,104.83725,-5984.545
3,-2135.4937,104.435,-6002.337
3,-231.39316,105.57613,-5505.5176
1,-207.00789,105.57592,-5368.319
1,-212.84076,105.576,-5378.8647
1,-209.29999,105.5802,-5372.0654
1,-210.58063,105.57658,-5375.3286
1,-432.94223,105.576355,-5274.2827
1,-431.4413,105.57693,-5281.828
1,-432.48837,105.57795,-5278.4287
1,-430.7177,105.576126,-5285.703
3,-122.15052,105.57719,-5110.7905
3,97.37217,128.58711,-3991.1973
2,4737.369,111.75415,-4269.6
